"","control1","control2","control3","benz1","benz2","benz3","chlorhex1","chlorhex2","chlorhex3","perox1","perox2","perox3","tric1","tric2","tric3"
"hdfR",11.122221228652,10.7970489807738,10.9993129443906,10.9823690332894,10.7989949928735,10.9549218093254,11.0309489552531,10.7478996232243,10.7505902213206,10.8394348455772,10.7933149336109,10.2494479560306,9.53982479246852,11.0051243024476,9.32312111060617
"thrL",11.7277203676459,11.6836013576789,11.5303055192899,10.7312660818419,11.3153168597441,11.419595805193,10.7136689279669,10.8794457904642,11.1351495224946,11.0666695044003,11.2092752043372,10.6104573978446,10.9846001690238,11.051641111287,9.60551393964482
"thiP",9.80840461564474,9.36917673718245,9.12375864471361,10.1467457772051,10.1986846051877,9.62382035169238,9.94167202096729,9.71731370565449,9.39587757038671,9.13175239133637,9.80840461564474,10.4180066769791,10.7929925490433,9.75583030404666,11.4108335772067
"gpt",10.7113737947345,10.3916156192595,10.5535206678747,10.9677554821346,11.0670946517751,10.9677554821346,10.6180860750834,10.5589210937418,10.4417709544479,11.1148014893106,11.7019772176905,11.5248348007673,11.7207221836034,11.6928287997074,11.7179977369405
"phoE",10.6039381644727,9.44673105499005,7.90134116638863,10.3128988726175,11.1219623171814,9.04481726759527,10.5511512009573,9.50865401276815,10.0514175998209,8.86626604834545,7.74399037062787,7.80051930673231,7.23356093213301,7.59484633519585,7.63014312113066
"codB",8.96873534558745,8.67188997258698,9.51588198664179,9.41824230938362,9.42694812036054,9.2419768474597,8.90832878882641,9.13489879698886,8.51250234295686,8.96178918225661,9.95311951566461,10.625104626977,11.0533859623464,10.6232489291922,11.3760143800274
"psiF",10.1447359177355,9.29885320967877,8.23164955729187,9.85547119719624,10.4906856426321,8.82140139784317,10.1361085126795,9.69648544013086,9.64518866494338,8.87681336411355,8.05016151613709,8.17449448155678,7.70597612330467,8.18247970892154,8.05372659817393
"phoA",12.3357232079891,11.9616981809744,10.8123846647899,12.3691289017085,12.6438445111795,11.5757464933772,12.3324122205168,12.0807705681422,12.11235936891,11.6226451724241,10.7410328104593,10.5636128579048,8.98962174944959,10.7618475393757,10.4909630875886
"phoR",11.4645373294304,10.8492646766614,9.51717739376912,11.4002171656518,11.6707132561243,10.5531237406713,11.4102412317054,11.0044183280406,11.1458909224676,10.4150541444965,8.9058122727425,8.29808437042254,7.15605931472209,9.10344897155423,7.76433933212172
"phoB",13.5403333272011,13.4457474984613,12.4504827572088,13.5509946854938,13.726054436552,13.1233418900789,13.6695130648884,13.4198310190706,13.5056535830042,12.9948244037107,12.1889240829537,11.6429981502851,10.339399901757,12.1994460326158,10.0645298261583
"ompW",10.3840283708264,10.4659976478829,11.4297052072816,11.1249544872936,11.9849962113085,11.2791705552149,10.9316723511769,11.2196909315415,11.1916014385654,9.87054241809542,10.1537253410428,10.1242237995141,9.23520331995806,10.5091254655179,9.25031801927922
"pxpC",12.8298935797603,12.5054151696509,12.1503485718438,12.5960281371253,12.6661790073484,12.4608349315828,12.7226370206754,12.5091897016614,12.4955162225476,12.2408852161287,11.9199245530635,11.6333041167027,10.985270662629,11.7013607332872,11.4927278764301
"pxpA",12.3877002373409,12.0412012739054,11.6389014198248,12.3125040199062,12.3388131986193,12.1087691049405,12.2487161401974,12.1339105131685,12.1172449719986,11.7896948125747,11.3414487308387,11.2792401977584,10.5025592105908,11.2037836467348,11.3145813823414
