"","control1","control2","control3","benz1","benz2","benz3","chlorhex1","chlorhex2","chlorhex3","perox1","perox2","perox3","tric1","tric2","tric3"
"1759068_at",7.3932196184778,7.1600206142128,7.17879935460953,8.02834210046364,6.95012282314256,7.22607946417966,7.6375325187753,7.93309648948321,7.85128643203225,7.41868207373169,7.17975073077768,7.9680517095397,8.06419444726867,7.06692294905947,7.70890704412821
"1759069_at",6.29622098394595,6.61938939317716,6.27953909141882,6.23484832426556,6.3229716109559,6.31727818985245,6.23771661925537,6.1123331365645,6.35917797274279,6.39400080034085,6.36554101112518,6.25906052042931,6.29622098394595,6.25494435777344,6.25673570711575
"1759070_s_at",6.5259660381769,6.69294440481911,6.66664355685728,6.28131508833148,6.45367923039115,6.46701327298143,6.44524361551587,6.23432458197686,6.37199911259288,6.70535200834802,6.62816873096092,6.31531803946861,6.98855567697173,6.46701327298143,6.47329187240154
"1759071_s_at",7.37953825448249,7.42635731232943,7.21661746331077,7.63841637072887,7.35317679759,7.18409137099299,7.35541939746029,7.40522317636165,7.21530162331125,7.31620745510596,7.22848364169304,7.38987957593404,7.43957758445192,7.4707644930989,7.20874075445505
"1759072_s_at",9.80730395692896,9.42879662194161,9.35054614818092,9.67501852106923,9.70195973426882,9.56551455658707,9.78654695105699,9.78658972683106,9.26872011738023,10.1617873433148,10.0236796896051,9.9497539605663,7.72584446809042,9.65058299017693,8.53708504912045
"1759073_at",5.75503050174937,6.37212372913182,5.96338325674329,5.82099794394139,5.83161644934364,6.02986348528757,5.84329162965051,5.90689519332861,5.93192400272565,5.90689519332861,6.08072372244776,5.90689519332861,5.92745660319573,5.90689519332861,5.85594363511539
"1759074_at",5.9449990650728,6.06594388204519,6.08082014718803,5.82730785551195,5.82914713771312,5.81306179949203,5.79732745621488,5.65854248819833,5.74107625595521,5.82914713771312,5.78618737152781,5.77375680038156,6.09380144038415,5.84670256193596,5.74632043442266
"1759075_at",7.30281517937705,7.28844824902743,7.25370321229525,7.03305190183203,7.26461525946465,7.53464228600189,7.12238711073947,7.41746968995636,7.52997697976149,7.39345153971909,7.51477963176251,7.29585609103019,7.62233932153414,7.15154250839898,7.44181032315753
"1759076_s_at",7.04365760786698,6.89761488500183,6.85961920430313,7.41322867657214,6.38087326382888,6.63928809025516,7.05782564758741,7.27106424283671,7.25599074737813,6.89761488500183,6.2396060596043,7.28464125074387,6.97779052473829,6.51157291312943,7.18096078944438
"1759077_s_at",6.43562989676151,6.61984669199653,6.50649869326589,6.37052801050671,6.40776988383893,6.45631312178111,6.42766622858681,6.42766622858681,6.4555611715694,6.42766622858681,6.35983630045823,6.42266851330159,6.87967592505192,6.39232691438424,6.30612529215471
